,index,file_index,ObjectId,Flags,trackedByStationaryModel,mobile,motionModelValidated,ObjectAge,Timestamp,ObjectPredAge,Classification,ClassCertainty,ClassAge,ObjBoxCenter_X,ObjBoxCenter_Y,ObjBoxCenterSigma_X,ObjBoxCenterSigma_Y,ObjBoxSize_X,ObjBoxSize_Y,ObjCourseAngle,ObjCourseAngleSigma,ObjBoxOrientation,ObjBoxOrientationSigma,RelVelocity_X,RelVelocity_Y,RelVelocitySigma_X,RelVelocitySigma_Y,AbsVelocity_X,AbsVelocity_Y,AbsVelocitySigma_X,AbsVelocitySigma_Y,RefPointLocation,RefPointCoords_X,RefPointCoords_Y,RefPointCoordsSigma_X,RefPointCoordsSigma_Y,RefPointPosCorrCoeffs,ObjPriority,ObjExtMeasurement,EgoLatitude,EgoLongitude,EgoAltitude,EgoHeadingRad,EgoPosTimestamp,GPSFixStatus,csv_name,ObjPrediction,Object_X,Object_Y,uniqueId,origin,destination,relative_destination,AbsVelocity,distance,distance_to_exit,relative_x,relative_y,relative_angle
0,7939,2602957,51,320,True,False,1,25,1496307663.683928,0,2,31,761,-25.9707,-4.14131,9.949869999999999,9.949869999999999,3.5931300000000004,0.9635239999999999,0.547523,0.122173,0.547523,0.122173,0.0,0.02,9.949869999999999,9.949869999999999,0.0,0.0,9.949869999999999,9.949869999999999,9,-25.9707,-4.14131,9.949869999999999,9.949869999999999,0.0,57344,1.0,-33.899,151.111,20.668000000000003,6.11655,1496307663.70681,Good,split_20170601-stationary-3-leith-croydon_02.csv,False,-25.9707,-4.14131,793,north,east,left,0.0,-0.9155907886088144,-6.67899023011014,-3.65869,-2.6706999999999996,0.547523
35,8604,2555663,53,384,False,True,1,110,1496307651.605376,0,4,70,3841,9.468160000000001,-11.215,0.103273,0.0742154,1.8683599999999998,0.766684,3.1387099999999997,0.05014,3.1387099999999997,0.05014,-3.3,0.0,0.452045,0.16497,-3.28934,0.00902613,0.452045,0.16497,2,8.53509,-10.8289,0.103273,0.0742154,0.0152684,65535,0.4,-33.899,151.111,19.375999999999998,6.10266,1496307651.636787,Good,split_20170601-stationary-3-leith-croydon_02.csv,False,9.468160000000001,-11.215,800,south,east,right,3.2893523840754395,-10.683785421764743,-43.1905066551752,-3.414999999999999,-14.468160000000001,-0.002882653589793449
58,2287,928773,59,384,False,True,1,75,1496307231.1295378,0,5,64,2343,5.14079,-11.3137,0.08627610000000001,0.04715080000000001,3.66932,0.5819840000000001,-3.0323599999999997,0.021694099999999997,-3.0323599999999997,0.021694099999999997,0.03,0.0,0.290964,0.0319176,0.0321977,0.00353121,0.290964,0.0319176,6,5.10907,-11.0244,0.08627610000000001,0.04715080000000001,0.140612,65535,1.0,-33.899,151.111,18.724,5.77792,1496307231.155344,Good,split_20170601-stationary-3-leith-croydon_02.csv,False,5.14079,-11.3137,810,south,east,right,0.03239075993789124,-8.080736156569166,-40.60514266051173,-3.5137000000000005,-10.140789999999999,0.1092326535897934
229,462,113639,64,384,False,True,1,334,1496307023.391672,0,5,68,12716,-21.0532,-4.622380000000001,0.0577154,0.08500260000000001,4.67899,1.7337799999999999,1.57002,0.032001,1.57002,0.032001,0.0,4.73,0.151308,0.272623,0.00365278,4.7282,0.151308,0.272623,2,-20.1845,-2.28356,0.0577154,0.08500260000000001,-0.0942823,65535,1.0,-33.899,151.111,17.755,5.59748,1496307023.4213731,Good,split_20170601-stationary-3-leith-croydon_02.csv,False,-21.0532,-4.622380000000001,829,south,east,right,4.728201410980896,27.01828658919925,-4.870899199003659,3.1776199999999983,16.0532,-1.5715726535897936
0,1549,360089,67,320,True,False,1,6,1496307088.304777,0,1,24,191,-25.0633,-4.35537,9.949869999999999,9.949869999999999,1.77575e-05,0.88782,0.00144517,0.122173,0.00144517,0.122173,0.0,0.0,9.949869999999999,9.949869999999999,0.0,0.0,9.949869999999999,9.949869999999999,9,-25.0633,-4.35537,9.949869999999999,9.949869999999999,0.0,57344,1.0,-33.899,151.111,18.628,5.6562,1496307088.33151,Good,split_20170601-stationary-3-leith-croydon_02.csv,False,-25.0633,-4.35537,835,north,east,left,0.0,-0.1986325414459537,-7.476515162897344,-3.44463,-1.7633000000000008,0.0014451700000002177
16,2720,909536,105,384,False,True,1,49,1496307225.970097,0,5,64,354,8.848519999999999,-11.0671,0.117401,0.0989639,2.61968,0.896651,-3.1399,0.06561689999999999,-3.1399,0.06561689999999999,-8.06,0.0,0.805862,0.529122,-8.0638,3.96688e-05,0.805862,0.529122,2,7.53792,-10.620999999999999,0.117401,0.0989639,-0.00185649,65535,1.0,-33.899,151.111,18.523,5.7743400000000005,1496307225.995787,Good,split_20170601-stationary-3-leith-croydon_02.csv,False,8.848519999999999,-11.0671,943,south,east,right,8.063800000097574,-9.961260371586802,-42.994667453439156,-3.2670999999999992,-13.848519999999999,0.0016926535897932027
229,7239,2157750,119,384,False,True,1,378,1496307548.862438,0,5,91,14140,-16.0615,-13.9532,0.10218300000000001,0.0652126,4.48347,1.7820599999999998,-3.1391299999999998,0.0322923,-3.1391299999999998,0.0322923,-5.72,0.0,0.35293800000000003,0.184515,-5.71385,-0.0141019,0.35293800000000003,0.184515,3,-13.8219,-13.0566,0.10218300000000001,0.0652126,0.014509200000000002,65535,1.0,-33.899,151.111,19.57,6.01633,1496307548.8832211,Good,split_20170601-stationary-3-leith-croydon_02.csv,False,-16.0615,-13.9532,967,south,north,straight,5.71386740186396,15.214598151297139,-8.233754874843726,-6.153200000000002,11.061499999999999,0.002462653589793362
11,16175,3924397,150,384,False,True,1,84,1496308004.088519,0,5,97,2909,-38.4061,-5.05211,0.120939,0.103933,0.43451000000000006,1.11356,-0.002784,0.05638390000000001,-0.002784,0.05638390000000001,5.6,0.0,0.581641,0.316031,5.60554,-0.0179042,0.581641,0.316031,1,-38.1873,-4.49593,0.120939,0.103933,0.000735355,65535,1.0,-33.899,151.111,15.936,0.108096,1496308004.112896,Good,split_20170601-stationary-3-leith-croydon_02.csv,False,-38.4061,-5.05211,1057,north,east,left,5.605568593102545,-13.41242551807385,-19.76453367808617,-2.747890000000001,-15.106100000000001,-0.0027840000000001197
10,11071,2827164,172,384,False,True,1,115,1496307718.838121,0,5,97,3926,-37.4839,-5.08059,0.115138,0.11785799999999999,0.354412,1.55775,-0.00152372,0.050955099999999996,-0.00152372,0.050955099999999996,8.77,0.0,0.455002,0.447213,8.77667,-0.008833200000000001,0.455002,0.447213,1,-37.3055,-4.30198,0.115138,0.11785799999999999,0.00536933,65535,1.0,-33.899,151.111,16.291,6.17117,1496307718.864716,Good,split_20170601-stationary-3-leith-croydon_02.csv,False,-37.4839,-5.08059,1096,north,east,left,8.776674445045927,-12.56329089097899,-19.503884369975644,-2.7194100000000008,-14.183899999999998,-0.0015237199999997841
98,9589,1907150,174,384,False,True,1,122,1496307482.6631238,0,5,97,4198,-11.9883,-3.12242,0.0973845,0.09819860000000001,1.3023200000000001,1.6823700000000001,-0.00261197,0.052303699999999995,-0.00261197,0.052303699999999995,7.94,0.0,0.346605,0.41527200000000003,7.93962,-0.00650173,0.346605,0.41527200000000003,1,-11.3349,-2.28294,0.0973845,0.09819860000000001,-0.00571689,65535,0.4,-33.899,151.111,21.323,5.9896,1496307482.689944,Good,split_20170601-stationary-3-leith-croydon_02.csv,False,-11.9883,-3.12242,1098,north,south,straight,7.939622662122741,13.275445645805384,-11.073510009042458,-4.677579999999999,11.3117,-0.002611970000000241
